area,location,box,owner,rows,cols,used,capacity,free,without_slot
Liquid Nitrogen,Liquid Nitrogen → Rack 1,LiqNitro 1,baris,9,9,63,81,18,0
Liquid Nitrogen,Liquid Nitrogen → Rack 1,LiqNitro 2,baris,9,9,75,81,6,0
Liquid Nitrogen,Liquid Nitrogen → Rack 2,Beyza Caa Hücre Box 1,beyzat,9,9,81,81,0,0
Liquid Nitrogen,Liquid Nitrogen → Rack 2,Beyza Caa Sıvı Azot Box 1,beyzat,9,9,24,81,57,0
Freezer 2,Freezer 2 → Baris Shelf,-80 Box1,baris,9,9,26,81,55,0
Freezer 2,Freezer 2 → Baris Shelf,-80 Box2,baris,9,9,54,81,27,0
Freezer 2,Freezer 2 → Baris Shelf,-80 Box3,baris,9,9,79,81,2,0
Freezer 2,Freezer 2 → Baris Shelf,-80 Box4,baris,9,9,73,81,8,0
Freezer 2,Freezer 2 → Baris Shelf,-80 Box5,baris,9,9,69,81,12,0
Freezer 2,Freezer 2 → Baris Shelf,-80 Box6,baris,9,9,76,81,5,0
Freezer 2,Freezer 2 → Beyza Shelf,Beyza Caa Hücre Box 2,beyzat,9,9,70,81,11,0
Freezer 1,Freezer 1 → Rack 1,UMUT CAA CELLS,umut,9,9,81,81,0,0
Freezer 1,Freezer 1 → Rack 1,UMUT CELLS -80,umut,9,9,81,81,0,0
Freezer 1,Freezer 1 → Rack 1,DUZENLE,umut,9,9,79,81,2,0
Freezer 1,Freezer 1 → Rack 1,ONGOING,umut,9,9,75,81,6,0
Freezer 1,Freezer 1 → Rack 1,UMUT CELLS -4-,umut,9,9,61,81,20,0
Freezer 1,Freezer 1 → Rack 2,Common Box #1,umut,9,9,0,81,81,0
Fridge 1,Fridge 1 → Rack 1,ChIP Box,umut,9,9,0,81,81,14
Fridge 1,Fridge 1 → Rack 1,ChIP Box -2-,umut,9,9,0,81,81,38
Fridge 1,Fridge 1 → Rack 1,Umut -20 -2-,umut,9,9,0,81,81,22
Fridge 1,Fridge 1 → Rack 1,Umut -20 Box -1-,umut,9,9,0,81,81,46
Not placed yet,Not placed yet,Unkown FOR NOW,umut,9,9,0,81,81,23
Not placed yet,Not placed yet,No use,umut,9,9,0,81,81,14
