locus,locus_coords,cell_type,group,dataset,normalisation,resolution_bp,chrom,bin1_start,bin2_start,observed,expected,oe
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67240158,237.209795,238.915357962963,0.9928612250903212
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67250158,205.137704,175.8224042374999,1.166732447378555
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67260158,89.316465,78.5734573544304,1.136725657840279
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67270158,69.417444,48.22023324358973,1.439591626389078
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67280158,60.144865,35.19439464935066,1.708933072986089
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67290158,61.884268,28.28703594736842,2.187725434193368
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67300158,26.644856,23.48217285135135,1.134684433534721
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67310158,42.14608,21.85783246575343,1.928191190322002
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67320158,43.634291,19.13965694366197,2.279784383201776
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67330158,22.153123,16.47935097101449,1.344295842655763
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67340158,20.853959,15.435738,1.351017942906261
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67350158,31.049892,15.30948,2.028148049443874
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67360158,13.504804,12.85724312307692,1.050365453209856
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67370158,14.167649,10.92231856923077,1.297128344151363
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67380158,14.357894,12.21234818032787,1.17568659098078
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67390158,14.185912,10.59372723728813,1.339086015927235
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67400158,14.59552,9.681064453124998,1.507635866972112
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67410158,21.952306,9.061600105263157,2.422563978215025
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67420158,17.241634,9.19484798275862,1.875140734499365
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67430158,22.474574,8.384074381818182,2.680626742617965
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67440158,18.205306,8.137684056603774,2.237160581974953
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67450158,13.535113,7.803352653846154,1.734525350886039
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67460158,21.513895,7.901594040816327,2.722728463252886
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67470158,2.476956,6.914754239130434,0.358213164827025
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67480158,11.974466,6.61317488888889,1.810698522447799
