locus,locus_coords,anchor,cell_type,peak_chrom,peak_start,peak_end,signal,strand,motif_rel_score,dataset
C3,"chrX:67,746,500-67,748,100",query,C4-2B,chrX,67544866,67545696,94.2975968164443,+,0.8438,ENCFF058UJL
C3,"chrX:67,746,500-67,748,100",query,C4-2B,chrX,67545071,67545901,30.6246775187848,+,0.8438,ENCFF058UJL
C3,"chrX:67,746,500-67,748,100",query,C4-2B,chrX,67544861,67545701,95.6792,+,0.8438,ENCFF060VCU
C3,"chrX:67,746,500-67,748,100",query,C4-2B,chrX,67545066,67545906,32.99749,+,0.8438,ENCFF060VCU
C3,"chrX:67,746,500-67,748,100",query,C4-2B,chrX,67544920,67545650,41.66611,+,0.8438,ENCFF568TXM
C3,"chrX:67,746,500-67,748,100",query,C4-2B,chrX,67542545,67543375,28.4198294182545,+,0.7983,ENCFF058UJL
C4,"chrX:67,787,800-67,793,300",query,C4-2B,chrX,67544866,67545696,94.2975968164443,+,0.8438,ENCFF058UJL
C4,"chrX:67,787,800-67,793,300",query,C4-2B,chrX,67545071,67545901,30.6246775187848,+,0.8438,ENCFF058UJL
C4,"chrX:67,787,800-67,793,300",query,C4-2B,chrX,67544861,67545701,95.6792,+,0.8438,ENCFF060VCU
C4,"chrX:67,787,800-67,793,300",query,C4-2B,chrX,67545066,67545906,32.99749,+,0.8438,ENCFF060VCU
C4,"chrX:67,787,800-67,793,300",query,C4-2B,chrX,67544920,67545650,41.66611,+,0.8438,ENCFF568TXM
C4,"chrX:67,787,800-67,793,300",query,C4-2B,chrX,67542545,67543375,28.4198294182545,+,0.7983,ENCFF058UJL
